scenario,step,mean_cooperation,balanced_fraction,n_blocs,modularity,polarization,conflicts,total_power
neutral,52,0.7743226776462421,1.0,1,0.0,1.0,0,156.29840979556258
neutral,53,0.7808730819746549,1.0,1,8.881784197001252e-16,1.0,0,164.28402531932406
neutral,54,0.787501861516265,1.0,1,-2.220446049250313e-16,1.0,0,172.72748255511277
neutral,55,0.7931267247444277,1.0,1,6.661338147750939e-16,1.0,0,181.6483704686155
neutral,56,0.7983903044272193,1.0,1,0.0,1.0,0,191.07408886736278
neutral,57,0.8037650035384096,1.0,1,-9.992007221626409e-16,1.0,0,201.03720249387078
neutral,58,0.8086009491884073,1.0,1,4.440892098500626e-16,1.0,0,211.5684149339169
neutral,59,0.8139554223409072,1.0,1,1.1102230246251565e-16,1.0,0,222.70289573157103
neutral,60,0.8193150301311669,1.0,1,-2.220446049250313e-16,1.0,0,234.47828591783852
neutral,61,0.8239118746123895,1.0,1,6.661338147750939e-16,1.0,0,246.9189412793408
neutral,62,0.8281215057477285,1.0,1,0.0,1.0,0,260.0672366053516
neutral,63,0.8324044846639358,1.0,1,-3.3306690738754696e-16,1.0,0,273.96771136639404
neutral,64,0.8367043440301565,1.0,1,5.551115123125783e-16,1.0,0,288.6625515192369
neutral,65,0.8409685791188385,1.0,1,0.0,1.0,0,304.19994348443686
neutral,66,0.8448555728454403,1.0,1,0.0,1.0,0,320.6250577630181
neutral,67,0.8486814890653569,1.0,1,-5.551115123125783e-16,1.0,0,337.9908017027834
neutral,68,0.8527934180834715,1.0,1,0.0,1.0,0,356.36076429750955
neutral,69,0.8569157425532756,1.0,1,-7.771561172376096e-16,1.0,0,375.79544854386745
neutral,70,0.8611542962140355,1.0,1,0.0,1.0,0,396.3669014345068
neutral,71,0.8650789010678258,1.0,1,2.220446049250313e-16,1.0,0,418.1335545515678
neutral,72,0.8688971392628336,1.0,1,3.3306690738754696e-16,1.0,0,441.1732317018229
neutral,73,0.8724117387978443,1.0,1,2.220446049250313e-16,1.0,0,465.55175151821106
neutral,74,0.8750809300281034,1.0,1,0.0,1.0,0,491.332947458062
neutral,75,0.8777029795293032,1.0,1,0.0,1.0,0,518.6053713769502
neutral,76,0.8798545102648433,1.0,1,-2.220446049250313e-16,1.0,0,547.4400672546811
neutral,77,0.8819731787680996,1.0,1,2.220446049250313e-16,1.0,0,577.925106421903
neutral,78,0.8835820874682679,1.0,1,0.0,1.0,0,610.1473991517921
neutral,79,0.8852146096673837,1.0,1,4.440892098500626e-16,1.0,0,644.210537935366
neutral,80,0.8863528988105072,1.0,1,3.3306690738754696e-16,1.0,0,680.2119280520503
neutral,81,0.8876686800968603,1.0,1,0.0,1.0,0,718.2693724098917
neutral,82,0.889247785836032,1.0,1,-1.1102230246251565e-16,1.0,0,758.514376339324
neutral,83,0.890989502809918,1.0,1,-3.3306690738754696e-16,1.0,0,801.0767170279549
neutral,84,0.8924485346631913,1.0,1,-2.220446049250313e-16,1.0,0,846.0789741987868
neutral,85,0.8932228578533757,1.0,1,0.0,1.0,0,893.637288180098
neutral,86,0.8944434755615032,1.0,1,0.0,1.0,0,943.9199701994356
neutral,87,0.8954627326587224,1.0,1,-3.3306690738754696e-16,1.0,0,997.0879233717909
neutral,88,0.8969761992534864,1.0,1,-5.551115123125783e-16,1.0,0,1053.3126994024635
neutral,89,0.8984063649502089,1.0,1,-5.551115123125783e-16,1.0,0,1112.7832286074372
neutral,90,0.8994135148962121,1.0,1,-3.3306690738754696e-16,1.0,0,1175.664576962021
neutral,91,0.9004312835508663,1.0,1,1.1102230246251565e-16,1.0,0,1242.167547027936
neutral,92,0.901319791506911,1.0,1,4.440892098500626e-16,1.0,0,1312.4823510212527
neutral,93,0.901801745344741,1.0,1,-2.220446049250313e-16,1.0,0,1386.796460318433
neutral,94,0.9022893166727316,1.0,1,4.440892098500626e-16,1.0,0,1465.3449350525175
neutral,95,0.9026323689073203,1.0,1,6.661338147750939e-16,1.0,0,1548.3488847846631
neutral,96,0.9037906598691915,1.0,1,9.992007221626409e-16,1.0,0,1636.122139560587
neutral,97,0.9047742444417357,1.0,1,-3.3306690738754696e-16,1.0,0,1728.9425727953142
neutral,98,0.9057599244035421,1.0,1,-4.440892098500626e-16,1.0,0,1827.0914573191376
neutral,99,0.9068877044245021,1.0,1,-2.220446049250313e-16,1.0,0,1930.9121696180855
neutral,100,0.9079825629903971,1.0,1,4.440892098500626e-16,1.0,0,2040.754491900469
neutral,101,0.9090095923015618,1.0,1,1.1102230246251565e-16,1.0,0,2156.9367118493956
neutral,102,0.9100330550903284,1.0,1,4.440892098500626e-16,1.0,0,2279.837607096722
neutral,103,0.9107697118457894,1.0,1,-2.220446049250313e-16,1.0,0,2409.8291143398783
neutral,104,0.9116371019222954,1.0,1,4.440892098500626e-16,1.0,0,2547.3086409257703
neutral,105,0.9124453595849814,1.0,1,0.0,1.0,0,2692.7288402350473
neutral,106,0.9133090495775538,1.0,1,-2.220446049250313e-16,1.0,0,2846.556772695039
neutral,107,0.914138945302807,1.0,1,0.0,1.0,0,3009.29123098389
neutral,108,0.9147419433362463,1.0,1,-2.220446049250313e-16,1.0,0,3181.4129359430476
neutral,109,0.915130691383384,1.0,1,-2.220446049250313e-16,1.0,0,3363.427990370321
neutral,110,0.9153270831281676,1.0,1,-6.661338147750939e-16,1.0,0,3555.856663759794
neutral,111,0.9158722677954665,1.0,1,-5.551115123125783e-16,1.0,0,3759.4169496081486
neutral,112,0.9162626330819875,1.0,1,1.1102230246251565e-16,1.0,0,3974.668248274154
neutral,113,0.9160919798022242,1.0,1,-3.3306690738754696e-16,1.0,0,4202.2426395648745
neutral,114,0.9164649629721009,1.0,1,4.440892098500626e-16,1.0,0,4442.944461546455
neutral,115,0.9167574784831898,1.0,1,-3.3306690738754696e-16,1.0,0,4697.551309907094
neutral,116,0.9168178514007043,1.0,1,-2.220446049250313e-16,1.0,0,4966.770519646928
neutral,117,0.9173272280553436,1.0,1,2.220446049250313e-16,1.0,0,5251.519789208798
neutral,118,0.9180135774280078,1.0,1,-5.551115123125783e-16,1.0,0,5552.856811688029
neutral,119,0.9180870927768596,1.0,1,2.220446049250313e-16,1.0,0,5871.5461856063
rivalrous,0,0.05056935742832796,0.6868131868131868,3,0.40175748740074635,0.0,0,24.456986922148527
rivalrous,1,0.022092013466305235,0.7087912087912088,3,0.45635478028563525,0.0,0,24.901035562145537
rivalrous,2,-0.00032217630552016757,0.7197802197802198,3,0.5025214418236337,0.0,0,25.348047550140265
rivalrous,3,-0.017649218970807633,0.7142857142857143,3,0.48973249597004537,0.0,0,25.80091740394954
rivalrous,4,-0.030876094185300323,0.7197802197802198,3,0.49706174915091783,0.0,0,26.261756187571883
rivalrous,5,-0.04073096424516384,0.7307692307692307,3,0.5194947832905676,0.0,0,26.73140834262643
rivalrous,6,-0.048275688571973334,0.7362637362637363,3,0.5247577754014006,0.0,0,27.210405578305085
rivalrous,7,-0.05644549877458522,0.7362637362637363,3,0.5466510401417566,0.03296703296703297,1,27.513625103691936
